image_name,category,subcategory
image_873981549_product_119753971.jpg,PC Gaming,Jeux PC
image_874237655_product_119941493.jpg,PC Gaming,Jeux PC
image_874728237_product_60669170.jpg,Nintendo,Jeux Nintendo Wii
image_874728837_product_97517744.jpg,PC Gaming,Jeux PC
image_891725942_product_138457978.jpg,Nintendo,Jeux Nintendo DS
image_891729814_product_138460774.jpg,PlayStation,Jeux PS3
image_891744268_product_138466610.jpg,Xbox,Jeux Xbox 360
image_922355701_product_164676664.jpg,PC Gaming,Jeux PC
image_933248181_product_190101470.jpg,PC Gaming,Jeux PC
image_933266207_product_190122195.jpg,Nintendo,Jeux Nintendo Wii
image_936900015_product_130415468.jpg,PlayStation,Jeux PS3
image_946272989_product_54242252.jpg,PlayStation,Jeux PS2
image_947128283_product_97662640.jpg,Xbox,Jeux Xbox 360
image_983165270_product_272078964.jpg,PlayStation,Jeux PS3
image_985456723_product_288040998.jpg,Xbox,Jeux Xbox 360
image_1025231310_product_436182917.jpg,PC Gaming,Jeux PC
image_1041748138_product_832656848.jpg,PlayStation,Jeux PS3
image_1075005845_product_1139865005.jpg,PC Gaming,Jeux PC
image_1123495532_product_1936795860.jpg,PlayStation,Jeux PS4
image_1143577545_product_2467914465.jpg,PlayStation,Jeux PS4
image_1149450149_product_2036108212.jpg,PlayStation,Jeux PS4
image_1302204660_product_4154117441.jpg,VTECH,Jeux V.SMILE
image_892937966_product_126159434.jpg,PC Gaming,Jeux PC
image_901097569_product_144610449.jpg,PC Gaming,Jeux PC
image_933233801_product_190091338.jpg,PC Gaming,Jeux PC
image_1041335988_product_825941638.jpg,PC Gaming,Jeux PC
image_1121512302_product_2032256097.jpg,Autre,Multi-plateformes
image_1241398257_product_3756587883.jpg,PlayStation,Jeux PS4
image_729787_product_1069161.jpg,Xbox,Jeux Xbox Classic
image_251865378_product_7980077.jpg,PlayStation,Jeux PS2
image_334877360_product_47896567.jpg,Nintendo,Jeux Game Boy Advance
image_874730026_product_46615098.jpg,PC Gaming,Jeux PC
image_891741366_product_138468949.jpg,PlayStation,Jeux PS2
image_933234195_product_190091494.jpg,PC Gaming,Jeux PC
image_937192623_product_197450909.jpg,PC Gaming,Jeux PC
image_946263596_product_53568396.jpg,PlayStation,Jeux PS3
image_1044577992_product_861269059.jpg,Nintendo,Jeux Nintendo DS
image_1053519738_product_1033730640.jpg,PlayStation,Jeux PS2
image_1073717173_product_1324193385.jpg,Xbox,Jeux Xbox 360
image_1130418886_product_2184281904.jpg,PlayStation,Jeux PS4
image_1195977838_product_3179266037.jpg,Xbox,Jeux Xbox One
image_933237084_product_190093399.jpg,PC Gaming,Jeux PC
image_936523476_product_89819109.jpg,Autre,Leapfrog
image_970625645_product_259377999.jpg,Nintendo,SNES
image_1068227670_product_1190608934.jpg,Nintendo,Jeux Nintendo Wii U
image_1100066181_product_1711734926.jpg,PC Gaming,Jeux PC
image_1100077949_product_1711736055.jpg,PC Gaming,Jeux PC
image_1100081813_product_1711736882.jpg,PC Gaming,Jeux PC
image_1108365016_product_1875756839.jpg,PC Gaming,Jeux PC
image_1108365346_product_1875804585.jpg,Outlier,Non pertinent
image_1108738856_product_1878218295.jpg,PC Gaming,Jeux PC
image_1146083530_product_2151614761.jpg,Xbox,Jeux Xbox One
image_1159838467_product_2720289758.jpg,Nintendo,Jeux Nintendo DS
image_1246419210_product_3797495566.jpg,PC Gaming,Jeux PC
image_1268904663_product_3947920720.jpg,PC Gaming,Jeux PC
image_1053259382_product_1028931562.jpg,PC Gaming,Jeux PC
image_1100062722_product_1711729209.jpg,PC Gaming,Jeux PC
image_1100066237_product_1711735656.jpg,PC Gaming,Jeux PC
image_1100066292_product_1711728922.jpg,PC Gaming,Jeux PC
image_1100066842_product_1711728920.jpg,PC Gaming,Jeux PC
image_1100069166_product_1711734525.jpg,PC Gaming,Jeux PC
image_1100071411_product_1711730412.jpg,PC Gaming,Jeux PC
image_1100073107_product_1711735590.jpg,PC Gaming,Jeux PC
image_1100077047_product_1711736577.jpg,PC Gaming,Jeux PC
image_1100081021_product_1711736636.jpg,PC Gaming,Jeux PC
image_1100081308_product_1711735062.jpg,PC Gaming,Jeux PC
image_1100082443_product_1711730037.jpg,Nintendo,Gamecube
image_1108316109_product_1874931038.jpg,Mobile Gaming,Jeux Android
image_1108365418_product_1875756849.jpg,PC Gaming,Jeux PC
image_1108365425_product_1875804608.jpg,PC Gaming,Jeux PC
image_1108738842_product_1878218230.jpg,PC Gaming,Jeux PC
image_1132983863_product_2240360521.jpg,PC Gaming,Jeux PC Mac
image_1160912325_product_2726077368.jpg,PC Gaming,Jeux PC
image_1187911797_product_3058415833.jpg,PC Gaming,Jeux PC
image_1215651393_product_3471354509.jpg,Outlier,Autre categorie
image_1225786777_product_3592267416.jpg,PC Gaming,Jeux PC
image_1236934770_product_3716121141.jpg,Autre,Combo
image_1236935361_product_3716121933.jpg,Autre,Combo
image_1315355210_product_4205293139.jpg,Nintendo,Jeux Nintendo Wii
image_927527365_product_180498882.jpg,PlayStation,Jeux PS2
image_971767481_product_263291107.jpg,Xbox,Jeux Xbox 360
image_300773669_product_2532960.jpg,PC Gaming,Jeux PC
image_347816633_product_48336271.jpg,PC Gaming,Jeux PC
image_476581624_product_2990280.jpg,PC Gaming,Jeux PC
image_857279564_product_2922637.jpg,Nintendo,Jeux Super Nintendo
image_874538275_product_105665622.jpg,Nintendo,Jeux Nintendo DS
image_874728473_product_82088950.jpg,PlayStation,Jeux PS3
image_821752779_product_62539070.jpg,PlayStation,Jeux PS2
image_933236823_product_190093231.jpg,PC Gaming,Jeux PC
image_874729700_product_51838314.jpg,PlayStation,Jeux PS2
image_874730352_product_82272428.jpg,PC Gaming,Jeux PC
image_874730967_product_71079705.jpg,Nintendo,Jeux Nintendo Wii
image_891738274_product_138465060.jpg,Nintendo,Jeux Nintendo DS
image_891745568_product_138468817.jpg,PlayStation,Jeux PS2
image_909281199_product_153775881.jpg,Nintendo,Jeux Nintendo DS
image_933251899_product_190104382.jpg,Nintendo,Jeux Nintendo Wii
image_933255053_product_190108376.jpg,PC Gaming,Jeux PC
image_933255934_product_190109589.jpg,PC Gaming,Jeux PC
image_933256325_product_190109294.jpg,PC Gaming,Jeux PC
image_933263084_product_190111725.jpg,PlayStation,Jeux PS3
image_941711858_product_6438248.jpg,PlayStation,Jeux PS2
image_957950713_product_223928273.jpg,Nintendo,Jeux Nintendo 3DS
image_958112438_product_226639108.jpg,Xbox,Jeux Xbox 360
image_963227279_product_190092264.jpg,Xbox,Jeux Xbox 360
image_963491300_product_243842296.jpg,PlayStation,Jeux PS3
image_973166956_product_49843653.jpg,Nintendo,Jeux Nintendo DS
image_987178672_product_293733323.jpg,Xbox,Jeux Xbox One
image_1004469307_product_299520596.jpg,PlayStation,Jeux PS3
image_1027961004_product_578256383.jpg,PlayStation,Jeux PS4
image_1077931399_product_1029033291.jpg,Nintendo,Jeux Nintendo Wii U
image_1116698200_product_1963983036.jpg,PC Gaming,Jeux PC
image_874730792_product_49132716.jpg,Nintendo,Jeux Game Boy Advance
image_891708180_product_81114643.jpg,Xbox,Jeux Xbox 360
image_659788_product_1018391.jpg,PlayStation,Jeux PS1
image_30320630_product_1663769.jpg,PC Gaming,Jeux PC
image_62364030_product_1559752.jpg,SEGA,MEGA DRIVE
image_134067230_product_2920625.jpg,Nintendo,Jeux Game Boy Advance
image_438013740_product_48575623.jpg,Xbox,Jeux Xbox Classic
image_622938810_product_1172613.jpg,PC Gaming,Jeux PC
image_848934236_product_80184839.jpg,PC Gaming,Jeux PC
image_848934532_product_80185024.jpg,Nintendo,Jeux Game Boy
image_852972374_product_80220190.jpg,PC Gaming,Jeux PC
image_871216205_product_115839088.jpg,PlayStation,Jeux PS2
image_874537621_product_107645356.jpg,Xbox,Jeux Xbox 360
image_874729026_product_77765803.jpg,PlayStation,Jeux PSP
image_891739856_product_138463294.jpg,Nintendo,Jeux Nintendo DS
image_891743753_product_138468520.jpg,Xbox,Jeux Xbox Classic
image_897494766_product_143510140.jpg,PlayStation,Jeux PS2
image_909972848_product_154090380.jpg,PlayStation,Jeux PS1
image_933234253_product_190091483.jpg,PlayStation,Jeux PS3
image_933240999_product_190099957.jpg,PC Gaming,Jeux PC
image_933244426_product_190100552.jpg,PC Gaming,Jeux PC
image_933252797_product_190105847.jpg,Xbox,Jeux Xbox 360
image_933256073_product_190109266.jpg,PC Gaming,Jeux PC
image_933258353_product_190109959.jpg,PC Gaming,Jeux PC
image_947328613_product_97070180.jpg,Nintendo,Jeux Nintendo Wii
image_958498859_product_228094884.jpg,Nintendo,Jeux Nintendo DS
image_1000493202_product_353771692.jpg,PlayStation,Jeux PSVITA
image_1027953365_product_301940235.jpg,Xbox,Jeux Xbox One
image_1158045210_product_2694313750.jpg,Xbox,Jeux Xbox 360
image_1178140299_product_2807747392.jpg,Nintendo,Jeux Nintendo Switch
image_1285449640_product_4042892616.jpg,PlayStation,Jeux PS4
image_909281142_product_153775792.jpg,PlayStation,Jeux PS3
image_933684149_product_190994440.jpg,PC Gaming,Jeux PC
image_973933825_product_242869160.jpg,PC Gaming,Jeux PC
image_1068150012_product_1132613553.jpg,PlayStation,Jeux PS4
image_79506330_product_2628871.jpg,SEGA,Genesis
image_319050191_product_46845576.jpg,PlayStation,Jeux PSP
image_689649164_product_184794.jpg,PlayStation,Jeux PS1
image_854179052_product_85756666.jpg,PC Gaming,Jeux PC
image_858283719_product_92572816.jpg,Outlier,Non pertinent
image_862620327_product_102967842.jpg,Nintendo,Jeux Nintendo Wii
image_933253436_product_190106777.jpg,PC Gaming,Jeux PC
image_962075798_product_46899777.jpg,SEGA,Dreamcast
image_1041415174_product_826453416.jpg,PlayStation,Jeux PS3
image_1142916338_product_3910575.jpg,Nintendo,Jeux Game Boy Advance
image_1268084489_product_3906702928.jpg,PlayStation,Jeux PS4
image_328927145_product_927741.jpg,PC Gaming,Jeux PC
image_849650304_product_81124208.jpg,PC Gaming,Jeux PC
image_958935293_product_228092929.jpg,Autre,Accessoire
image_971348084_product_261788917.jpg,Nintendo,SNES
image_1100059985_product_1711729477.jpg,PC Gaming,Jeux PC
image_1100083267_product_1711729062.jpg,PC Gaming,Jeux PC
image_1159838466_product_2720289759.jpg,Nintendo,Jeux Nintendo DS
image_1176898982_product_2964292933.jpg,Autre,Autres
image_1139162966_product_2379124886.jpg,Nintendo,Jeux Nintendo DS
image_1058972548_product_1089685811.jpg,PC Gaming,Jeux PC
image_1100064150_product_1711734470.jpg,PC Gaming,Jeux PC
image_1100065101_product_1711733299.jpg,PC Gaming,Jeux PC
image_1100065729_product_1711730415.jpg,Autre,multi-plateformes
image_1100065974_product_1711736557.jpg,PC Gaming,Jeux PC
image_1100068625_product_1711735034.jpg,PC Gaming,Jeux PC
image_1100070218_product_1711734642.jpg,PC Gaming,Jeux PC
image_1100076669_product_1711736594.jpg,PC Gaming,Jeux PC
image_1100077520_product_1711736784.jpg,PC Gaming,Jeux PC
image_1100077574_product_1711735833.jpg,PC Gaming,Jeux PC
image_1100081963_product_1711731563.jpg,PC Gaming,Jeux PC
image_1100085244_product_1711736828.jpg,Outlier,Autre categorie
image_1100086947_product_1711736338.jpg,PC Gaming,Jeux PC
image_1102674938_product_1805032545.jpg,PC Gaming,Jeux PC
image_1108215009_product_1871867473.jpg,PC Gaming,Jeux PC
image_1108737984_product_1878218298.jpg,PC Gaming,Jeux PC
image_1110810102_product_1904422813.jpg,PC Gaming,Jeux PC
image_1132983627_product_2240360476.jpg,PC Gaming,Jeux PC
image_1133950997_product_2034871712.jpg,PC Gaming,Jeux PC
image_1141465108_product_2432859218.jpg,PC Gaming,Jeux PC
image_1168313731_product_2856775404.jpg,PC Gaming,Jeux PC
image_1176954743_product_2965041516.jpg,PC Gaming,Jeux PC
image_1183024584_product_3010870346.jpg,PC Gaming,Jeux PC
image_1196604463_product_3108206564.jpg,PC Gaming,Jeux PC
image_1199617908_product_3233258914.jpg,Nintendo,Jeux Nintendo Wii U
image_1234808632_product_3690853420.jpg,Nintendo,Gamecube
image_1236934944_product_3716121425.jpg,PlayStation,Jeux PS2
image_1280048988_product_4042765839.jpg,Autre,Coffret
image_476359610_product_1853453.jpg,Autre,Combo
image_846909214_product_76281501.jpg,Autre,Combo
image_971371809_product_262041682.jpg,SEGA,Saturn
image_973125188_product_267898588.jpg,PlayStation,Jeux PS3
image_308038846_product_1607404.jpg,Nintendo,Jeux Game Boy Advance
image_867095986_product_55556886.jpg,PlayStation,Jeux PSP
image_874538053_product_111847660.jpg,Nintendo,Jeux Nintendo DS
image_874727878_product_90062129.jpg,Nintendo,Jeux Nintendo DS
image_874728161_product_82614930.jpg,PC Gaming,Jeux PC
image_716950448_product_7490474.jpg,PlayStation,Jeux PS1
image_846014108_product_75096137.jpg,PC Gaming,Jeux PC
image_933238947_product_190096182.jpg,PC Gaming,Jeux PC
image_933240320_product_190095037.jpg,Nintendo,Jeux Nintendo DS
image_874731286_product_46704360.jpg,Nintendo,Jeux Game Boy Advance
image_891223536_product_131597581.jpg,PlayStation,Jeux PS2
image_891736821_product_138464231.jpg,Nintendo,Jeux Nintendo DS
image_933251978_product_190103729.jpg,Nintendo,Jeux Nintendo Wii
image_933257534_product_190108918.jpg,PC Gaming,Jeux PC
image_933257981_product_190108812.jpg,PC Gaming,Jeux PC
image_933263666_product_190112670.jpg,PlayStation,Jeux PS3
image_935314259_product_194452799.jpg,PC Gaming,Jeux PC
image_975796552_product_258341670.jpg,PlayStation,Jeux PS3
image_985456698_product_290210516.jpg,PlayStation,Jeux PS3
image_999810411_product_301235593.jpg,PlayStation,Jeux PS3
image_1016066453_product_493545596.jpg,PlayStation,Jeux PS3
image_1032783160_product_630642988.jpg,Nintendo,Jeux Nintendo Wii
image_1053085531_product_1022623650.jpg,Nintendo,Jeux Super Nintendo
image_1062523736_product_301815907.jpg,Xbox,Jeux Xbox 360
image_1096911277_product_1638225913.jpg,PlayStation,Jeux PS4
image_1098376627_product_1684789300.jpg,Xbox,Jeux Xbox One
image_1123660911_product_2060555800.jpg,PlayStation,Jeux PS4
image_1148926787_product_2550005949.jpg,PlayStation,Jeux PS4
image_1233470015_product_3626367914.jpg,Nintendo,Jeux Nintendo Switch
image_1234513943_product_3684576397.jpg,Xbox,Jeux Xbox One
image_874729307_product_74244625.jpg,PC Gaming,Jeux PC
image_529140_product_923202.jpg,PlayStation,Jeux PS2
image_1051593_product_1283013.jpg,PlayStation,Jeux PS2
image_13233030_product_1431728.jpg,Nintendo,Jeux GAMECUBE
image_110307330_product_1198135.jpg,PC Gaming,Jeux PC
image_234303430_product_6648556.jpg,Nintendo,Jeux SUPER FAMICOM
image_300917069_product_928105.jpg,PC Gaming,Jeux PC
image_301844443_product_5189935.jpg,Xbox,Jeux Xbox Classic
image_324151298_product_14034577.jpg,Nintendo,Jeux Game Boy Advance
image_381381976_product_49628162.jpg,Nintendo,Jeux Nintendo DS
image_558592269_product_53702264.jpg,PC Gaming,Jeux PC
image_564455330_product_49848465.jpg,Nintendo,Jeux Nintendo DS
image_712678422_product_1586816.jpg,PC Gaming,Jeux PC
image_845665195_product_74697205.jpg,PC Gaming,Jeux PC
image_847403454_product_76335437.jpg,PC Gaming,Jeux PC
image_871483952_product_115419768.jpg,PC Gaming,Jeux PC
image_874727855_product_99505596.jpg,PC Gaming,Jeux PC
image_891729120_product_138459015.jpg,PlayStation,Jeux PSP
image_932720118_product_80161913.jpg,PC Gaming,Jeux PC
image_933236801_product_190094193.jpg,PC Gaming,Jeux PC
image_933250107_product_190103590.jpg,Nintendo,Jeux Nintendo 3DS
image_933256367_product_190109245.jpg,PC Gaming,Jeux PC
image_933257401_product_190108311.jpg,PC Gaming,Jeux PC
image_946296632_product_75415120.jpg,Xbox,Jeux Xbox 360
image_956730229_product_223026420.jpg,PlayStation,Jeux PS2
image_958250965_product_227205580.jpg,Nintendo,Jeux Game Boy
image_973933517_product_251410352.jpg,PC Gaming,Jeux PC
image_1134618245_product_2287962051.jpg,PlayStation,Jeux PSVITA
image_1161168397_product_2733520304.jpg,Xbox,Jeux Xbox One
image_1117041866_product_1967323837.jpg,PlayStation,Jeux PS1
image_891835020_product_106117926.jpg,SEGA,Dreamcast
image_921306268_product_150373667.jpg,Nintendo,Jeux Nintendo 3DS
image_933241968_product_190098899.jpg,PC Gaming,Jeux PC
image_933251547_product_190106631.jpg,PlayStation,Jeux PS2
image_933254552_product_190108765.jpg,PC Gaming,Jeux PC
image_946296536_product_208372596.jpg,PC Gaming,Jeux PC
image_956267541_product_221358684.jpg,Xbox,Jeux Xbox 360
image_1315763371_product_4206711456.jpg,Xbox,Jeux Xbox 360
image_874538397_product_111096070.jpg,PC Gaming,Jeux PC
image_879099276_product_5925962.jpg,PC Gaming,Jeux PC
image_884496659_product_129809790.jpg,PlayStation,Jeux PS2
image_892682242_product_135141750.jpg,PC Gaming,Jeux PC
image_933235887_product_190093308.jpg,Nintendo,Jeux Nintendo Wii
image_933260225_product_190110715.jpg,PC Gaming,PC Mac
image_940318369_product_203667517.jpg,Nintendo,Jeux Nintendo DS
image_1039267141_product_646789701.jpg,PC Gaming,Jeux PC
image_9118030_product_1372815.jpg,PC Gaming,Jeux PC
image_901354743_product_146713508.jpg,SEGA,Saturn
image_908471550_product_152786580.jpg,PlayStation,Jeux PS2
image_933243692_product_190097879.jpg,PlayStation,Jeux PS3
image_933253491_product_190106341.jpg,Nintendo,Jeux Nintendo Wii
image_948064881_product_210707049.jpg,PC Gaming,Jeux PC
image_970911889_product_260458769.jpg,Nintendo,SNES
image_1100073842_product_1711735498.jpg,PC Gaming,Jeux PC
image_1100076297_product_1711730104.jpg,PC Gaming,Jeux PC
image_1235567047_product_3695632560.jpg,Nintendo,Jeux Game Boy
image_1236944545_product_3716248639.jpg,PC Gaming,Jeux PC
image_1100059921_product_1711736573.jpg,PC Gaming,Jeux PC
image_1100063685_product_1711736000.jpg,PC Gaming,Jeux PC
image_1119523636_product_2000192031.jpg,Réalité Virtuelle,Jeux VR PC
image_1049879107_product_957011147.jpg,PC Gaming,Jeux PC
image_1100066257_product_1711735869.jpg,PC Gaming,Jeux PC
image_1100066810_product_1711736554.jpg,PC Gaming,Jeux PC
image_1100070334_product_1711733251.jpg,PC Gaming,Jeux PC
image_1100076011_product_1711736387.jpg,PC Gaming,Jeux PC
image_1100076852_product_1711728854.jpg,PC Gaming,Jeux PC
image_1100077500_product_1711734807.jpg,PC Gaming,Jeux PC
image_1100081873_product_1711736649.jpg,PC Gaming,Jeux PC
image_1100083741_product_1711736282.jpg,Outlier,Autre categorie
image_1108738672_product_1878218172.jpg,PC Gaming,Jeux PC
image_1115683575_product_1949003999.jpg,PC Gaming,Jeux PC
image_1132925383_product_2237358098.jpg,PC Gaming,Jeux PC
image_1132983697_product_2240360489.jpg,Outlier,Autre categorie
image_1134177075_product_2275732341.jpg,PC Gaming,Jeux PC
image_1146981061_product_2527236596.jpg,PlayStation,Jeux PS3
image_1152030349_product_2596981190.jpg,PlayStation,Jeux PS3
image_1231976657_product_3656477301.jpg,PC Gaming,Jeux PC
image_1236934329_product_3716121060.jpg,Autre,Coffret
image_1236934931_product_3716121410.jpg,Xbox,Jeux Xbox 360
image_1240554261_product_3748316863.jpg,Autre,Combo
image_1247153473_product_3805769836.jpg,Nintendo,Jeux Nintendo Wii U
image_1268253920_product_1585204775.jpg,Autre,multi-plateformes
image_1301143063_product_4150865160.jpg,PlayStation,Jeux PS1
image_910951795_product_155227143.jpg,Autre,Combo
image_939405656_product_161987876.jpg,PlayStation,Jeux PS4
image_939983893_product_203224746.jpg,PlayStation,Jeux PS2
image_966604797_product_252504330.jpg,SEGA,Genesis
